type	prod0	prod1	prod2	prod3	prod4	prod5	prod6	prod7	prod8	prod9	daysLate
0	8	20	23	10	16	41	19	32	17	37	30
1	26	20	23	20	24	25	21	34	26	20	27
0	8	20	17	15	16	29	26	26	31	26	54
0	10	45	20	17	19	21	19	20	11	18	18
0	20	20	18	19	20	24	19	34	27	18	11
1	12	40	17	16	19	29	20	19	18	29	31
1	8	37	23	16	19	28	20	29	20	28	37
1	6	30	22	14	24	24	20	24	14	27	41
0	16	19	32	14	16	36	18	26	16	20	28
0	15	16	20	12	23	21	29	29	30	19	40
0	8	23	19	17	26	48	22	28	16	35	17
1	31	15	18	13	20	25	20	29	18	15	22
0	12	16	24	13	24	19	18	30	30	25	31
1	35	14	22	15	22	24	23	28	14	26	26
0	16	22	22	16	21	19	20	31	27	15	45
1	34	17	23	13	17	23	21	34	12	21	6
1	25	25	21	9	15	23	21	28	17	21	10
1	20	22	20	10	21	25	22	26	25	17	13
0	10	15	21	19	16	26	16	29	34	21	54
0	9	20	27	10	22	33	19	35	17	24	21
0	12	18	22	15	21	28	25	28	29	24	38
0	12	17	30	14	22	42	24	30	20	21	21
0	9	18	20	7	19	32	20	27	30	23	34
0	10	16	22	13	22	26	18	24	31	16	46
0	13	39	20	14	23	23	18	26	16	21	0
1	14	21	22	11	20	28	19	30	23	23	17
0	17	36	21	15	19	21	19	33	18	27	0
0	12	20	22	17	21	35	20	28	16	19	21
0	10	35	20	18	21	23	21	31	14	20	27
0	12	21	21	19	19	24	17	33	28	17	57
1	31	29	18	15	19	27	20	32	15	12	8
0	13	18	21	14	20	20	19	28	30	18	36
0	11	19	16	15	20	45	20	21	15	46	30
0	13	18	17	16	22	27	21	25	30	14	45
0	14	16	28	13	20	31	17	32	14	15	5
0	11	32	21	16	22	28	21	34	30	15	29
0	19	42	20	20	19	24	23	33	18	22	15
1	19	27	20	15	26	31	20	32	25	24	6
0	12	13	20	20	24	45	20	29	11	36	2
1	20	21	22	23	16	21	14	36	26	19	12
1	22	15	22	16	25	18	21	22	25	22	20
1	20	15	13	18	18	28	18	30	23	24	11
1	27	27	21	17	20	22	20	34	15	25	6
0	15	20	21	14	14	49	22	27	15	43	15
1	11	42	23	15	18	27	20	23	13	28	48
0	10	18	32	17	25	35	17	28	16	17	13
1	36	15	21	20	19	23	25	26	13	20	11
0	13	36	23	10	17	30	24	33	16	20	11
1	18	42	18	12	18	28	20	30	19	29	37
0	15	17	17	18	20	53	17	25	17	41	20
0	10	29	16	22	22	25	20	27	15	18	7
0	9	20	21	16	16	44	22	30	12	42	20
0	12	38	18	14	22	25	20	27	15	18	7
0	13	20	18	14	27	25	15	37	31	22	33
0	4	46	20	13	15	30	21	30	14	21	18
0	13	22	27	9	19	40	25	27	18	20	29
0	7	13	18	18	15	45	20	35	16	26	13
1	30	29	18	16	25	29	22	20	17	17	15
0	15	27	38	10	23	35	24	31	15	20	28
0	15	19	20	15	26	46	23	30	14	40	6
0	12	21	21	13	22	36	24	31	10	49	22
0	8	46	22	15	22	23	31	31	17	17	10
0	12	42	20	15	20	27	19	33	16	20	19
0	11	20	31	10	20	40	21	35	16	27	11
1	21	30	23	11	25	25	17	24	24	20	22
0	18	25	19	11	12	19	20	20	34	20	36
1	8	32	20	11	22	20	20	33	16	31	45
0	11	21	19	9	19	45	17	33	17	52	30
0	14	41	21	18	13	23	20	31	18	21	27
1	11	32	22	13	20	23	25	26	20	26	29
0	14	43	20	13	15	25	24	29	14	18	7
0	15	25	18	16	22	38	19	23	20	46	12
1	23	23	22	13	16	29	21	42	22	14	4
1	22	22	20	20	22	27	23	27	25	19	2
0	14	48	21	14	20	23	23	28	16	19	30
0	16	23	19	13	19	25	22	24	29	20	36
0	13	18	32	26	19	34	25	31	14	25	21
0	18	14	29	15	20	37	20	26	15	20	28
0	16	20	30	21	17	29	19	27	15	24	17
1	23	17	23	17	17	24	20	29	15	20	21
0	15	21	20	17	16	52	17	19	16	44	1
0	14	31	20	12	19	44	20	36	14	43	10
0	12	51	19	7	15	30	20	33	16	19	25
1	16	40	21	16	20	25	24	30	13	29	58
0	13	22	27	12	24	25	21	37	15	22	2
1	13	17	22	15	18	33	20	42	24	23	27
0	11	20	20	15	16	23	20	27	32	22	52
1	11	38	19	19	22	36	20	24	18	28	58
0	12	19	22	17	20	29	22	28	31	18	44
0	10	10	19	14	18	24	22	39	27	20	32
1	17	20	16	17	14	25	18	23	25	20	15
0	14	18	37	15	20	32	24	31	12	18	11
1	13	36	20	14	13	33	23	26	11	27	30
0	12	11	20	17	20	45	20	32	15	41	13
0	14	45	24	18	18	25	16	32	14	24	0
0	13	37	21	15	26	31	21	28	14	20	14
0	15	17	23	21	21	26	16	30	27	16	30
1	19	24	16	14	21	31	22	38	11	17	11
0	16	44	16	17	28	24	25	34	18	24	1
0	11	24	20	14	22	45	18	26	14	48	12
1	30	31	21	17	15	30	21	24	12	20	13
0	16	30	14	17	22	27	20	27	31	17	55
0	12	20	17	15	20	21	27	30	30	17	50
0	8	37	22	23	16	23	17	26	15	22	20
1	14	38	19	14	11	25	18	36	17	32	34
0	15	20	20	10	24	45	24	32	17	40	6
1	29	24	20	21	22	20	19	35	15	20	25
0	8	35	21	12	19	24	18	31	14	24	3
0	13	22	24	14	25	45	23	37	19	52	0
0	12	26	14	13	25	45	18	24	18	50	9
0	8	21	18	9	20	29	18	30	36	17	50
0	14	23	28	13	23	37	20	31	11	19	29
0	7	19	20	12	18	43	19	39	14	35	0
1	25	21	20	16	18	25	21	31	16	21	2
1	14	35	22	15	16	24	21	34	17	28	41
0	11	19	30	11	20	32	26	29	13	21	20
0	12	21	24	16	18	25	18	25	30	18	50
0	10	12	30	18	21	37	20	36	17	23	25
1	30	21	22	13	12	26	16	30	11	20	27
0	8	43	21	19	21	29	23	24	20	20	16
0	11	20	21	15	15	23	25	19	23	21	34
0	14	22	23	15	26	39	21	34	13	17	26
1	13	51	20	18	14	28	19	28	15	27	37
0	11	41	20	15	24	26	18	29	15	22	13
0	12	20	28	11	22	34	23	30	15	18	20
0	9	14	19	15	20	33	14	34	32	21	41
0	15	22	20	15	18	25	21	30	30	15	31
0	12	20	20	16	25	30	18	30	33	12	58
0	24	24	23	15	19	22	17	29	25	14	24
1	20	28	12	16	17	24	20	22	25	25	23
1	12	35	17	18	18	27	19	33	14	37	42
1	22	29	16	16	22	26	14	32	11	23	4
1	7	40	17	19	25	25	21	33	15	28	44
1	24	22	20	7	22	34	15	32	25	13	30
0	11	11	30	20	22	31	22	30	11	20	22
1	30	20	19	12	20	21	21	27	13	25	7
0	16	21	22	22	10	26	22	34	27	19	53
0	13	41	20	15	21	27	20	35	17	24	9
1	9	43	20	14	23	25	24	27	16	29	51
1	21	20	16	15	21	23	24	29	27	25	5
0	12	15	30	16	14	37	22	28	18	22	9
1	31	20	21	22	16	25	23	26	19	20	21
0	11	13	20	8	22	45	21	29	12	41	11
1	21	15	20	16	20	30	18	19	27	21	1
0	9	20	22	15	12	47	20	29	16	36	12
1	30	23	20	19	26	31	21	26	16	16	18
0	8	26	22	11	16	48	20	32	15	43	8
1	11	38	22	16	21	27	23	29	18	30	40
0	14	12	22	16	22	43	20	34	15	52	13
1	12	42	15	21	20	23	19	29	19	35	29
0	10	16	23	9	17	38	23	32	12	40	16
0	14	20	20	14	24	43	20	30	14	40	11
1	15	16	17	10	13	24	24	28	29	19	41
0	10	12	18	15	16	28	21	28	31	22	44
0	12	22	18	14	19	42	20	31	14	40	0
0	13	21	20	16	18	45	17	27	13	40	10
1	22	17	17	20	17	19	18	23	24	20	3
0	10	18	35	14	20	33	23	32	6	24	10
1	20	18	14	16	19	31	21	30	26	15	23
1	9	41	17	15	21	21	16	24	10	26	44
0	12	24	21	18	18	22	17	31	34	20	37
0	9	48	21	12	22	25	16	26	14	16	9
0	12	20	21	15	21	24	20	27	31	19	51
0	11	40	20	9	25	19	21	31	18	21	20
0	13	26	22	15	17	46	20	30	18	40	24
0	15	24	22	7	20	51	18	30	12	41	16
1	10	42	20	15	21	21	19	32	15	34	50
1	34	30	15	21	19	21	23	26	10	26	6
1	17	18	19	19	22	30	21	18	24	22	12
1	9	44	25	15	15	24	18	22	13	21	28
0	17	36	13	20	23	25	18	29	19	21	2
0	7	44	22	18	18	25	24	19	14	18	11
1	33	17	20	10	20	27	18	30	18	15	28
0	9	45	18	11	21	30	23	34	14	18	5
0	12	43	20	11	26	29	20	29	15	14	19
0	10	17	37	20	15	37	20	25	18	21	23
0	10	45	19	15	21	25	16	38	15	16	5
0	9	19	20	9	21	47	20	37	16	48	1
0	12	20	17	17	15	26	21	37	33	14	47
1	14	40	25	9	21	13	18	32	16	29	42
1	20	21	20	14	23	23	21	37	25	18	17
0	8	18	18	13	22	45	16	23	14	47	12
0	19	34	24	12	26	40	17	30	8	24	24
0	14	15	19	15	20	21	18	24	30	17	53
0	6	19	19	13	23	43	25	30	11	41	20
1	12	44	22	18	19	23	22	23	15	28	47
1	11	44	20	15	18	28	20	24	24	29	55
1	25	28	17	11	21	27	18	24	22	17	8
0	12	45	20	9	20	28	22	21	15	20	4
0	12	21	23	13	26	40	21	34	11	18	4
0	17	15	26	11	15	29	18	30	17	20	8
1	10	49	19	16	20	25	17	33	14	30	36
1	11	42	23	15	15	19	28	23	14	32	51
1	22	19	20	17	20	23	18	31	24	23	4
0	12	15	23	13	26	38	24	30	17	30	0
1	15	20	20	19	20	45	17	31	18	51	15
0	13	24	18	15	23	22	22	26	31	27	34
0	13	40	18	16	21	24	20	29	16	20	19
0	8	11	29	17	16	37	21	26	14	22	21
0	9	34	20	15	21	30	18	29	13	19	0
0	7	19	31	12	17	35	20	37	17	17	3
0	9	27	15	13	19	25	17	36	27	26	51
1	17	13	20	14	20	24	21	34	32	25	38
0	13	27	21	21	24	50	20	25	16	36	15
1	12	40	22	14	18	25	23	28	15	29	43
1	16	38	20	23	15	24	21	31	26	20	18
0	8	22	30	12	15	36	22	28	15	22	14
1	37	20	20	16	25	26	15	16	13	18	6
0	27	25	20	16	20	30	22	34	14	21	9
1	33	23	20	14	20	19	20	25	15	21	22
1	11	39	19	17	17	25	21	30	14	27	52
0	9	43	20	15	2	32	17	27	13	20	8
1	12	45	20	19	22	25	20	26	15	17	19
0	13	40	17	7	22	30	22	25	15	26	16
1	20	21	15	18	21	25	15	33	15	23	17
0	12	44	23	19	22	28	19	22	17	18	18
1	23	13	20	20	18	24	20	30	15	17	3
1	27	8	18	10	18	24	20	23	11	14	19
1	19	20	18	16	22	22	23	33	25	18	20
0	12	20	19	15	22	21	17	28	30	23	32
1	25	17	19	15	20	26	17	31	16	20	27
1	20	23	18	16	19	21	21	35	25	18	14
0	11	20	23	20	23	43	22	28	13	46	12
1	30	14	17	13	20	25	22	24	15	22	1
0	8	19	32	12	20	34	16	30	14	26	3
1	20	22	20	8	20	27	21	30	12	19	24
0	11	16	23	13	22	33	23	27	17	14	22
0	38	18	22	17	20	26	19	25	19	15	14
0	10	20	23	15	12	31	18	36	16	18	30
1	20	18	16	15	19	24	19	25	27	19	29
1	14	41	23	15	24	23	17	38	15	35	51
1	20	8	19	16	27	22	20	38	28	21	4
1	25	13	14	17	15	26	23	30	15	23	13
1	20	27	20	13	17	25	25	27	15	20	8
1	10	13	21	15	23	26	26	30	29	18	30
0	13	18	18	10	22	49	14	27	15	47	11
1	20	21	20	15	22	29	20	32	27	20	30
1	34	27	20	11	18	22	21	29	22	17	3
1	30	24	18	11	24	26	18	29	12	18	23
1	14	41	24	13	17	26	18	35	12	29	55
0	13	35	21	11	20	25	18	25	14	15	2
1	8	42	24	24	19	25	13	34	16	25	29
1	22	12	20	17	23	26	20	30	15	19	8
0	14	20	20	15	21	23	25	23	28	29	53
0	13	19	21	22	18	50	21	26	18	37	17
0	8	16	28	19	25	32	17	30	12	22	16
0	14	43	23	10	26	20	21	31	21	27	13
0	14	40	22	11	22	23	21	32	14	22	10
1	23	17	24	23	21	26	16	30	21	18	22
1	20	21	26	14	18	26	20	30	25	18	4
0	14	18	18	11	17	45	22	25	9	40	16
1	27	19	23	4	21	25	19	38	15	23	17
1	13	39	24	20	22	23	23	29	16	31	47
0	12	20	17	15	18	44	20	35	15	34	7
1	30	22	20	14	19	28	20	26	17	17	28
1	24	16	20	21	23	32	21	32	14	24	2
0	12	28	21	16	21	25	20	28	19	20	7
0	15	40	21	16	27	26	23	32	13	23	19
1	30	16	20	9	24	28	20	27	16	11	28
1	23	20	19	14	23	23	16	32	10	21	21
0	12	18	17	19	16	49	14	39	20	46	14
0	14	41	21	16	15	25	16	41	14	21	4
1	21	21	27	17	11	23	18	31	24	20	26
0	7	14	20	20	17	50	19	27	8	40	29
0	14	15	21	16	18	37	16	25	13	28	2
0	8	18	21	16	26	28	19	32	36	20	51
0	12	44	21	17	21	24	17	32	15	20	4
0	13	34	23	15	17	24	17	35	28	18	44
0	16	20	20	15	20	27	23	30	27	29	36
1	21	20	16	10	18	24	24	30	31	20	9
0	8	39	22	20	27	28	21	31	15	15	11
0	13	44	19	12	20	23	21	42	15	19	23
1	11	31	20	20	24	23	19	24	13	30	58
1	20	17	20	13	22	22	19	46	29	20	13
1	13	38	23	14	18	26	22	26	15	30	52
0	12	20	21	20	20	39	21	24	17	15	14
1	12	41	18	12	17	21	21	31	16	36	48
0	12	41	18	20	16	29	20	32	12	17	13
0	11	25	24	14	19	26	20	24	29	20	44
0	17	36	21	20	28	29	16	37	15	17	29
0	13	20	17	12	20	42	20	34	20	46	0
0	12	23	20	11	19	30	20	38	30	20	36
0	6	43	20	16	27	22	23	23	18	15	21
0	23	19	20	24	21	24	16	30	27	24	4
1	13	20	20	10	23	22	17	31	23	21	17
0	18	40	23	25	20	24	18	30	15	22	6
0	12	20	30	16	18	33	18	27	10	22	11
0	12	28	29	15	20	27	24	21	16	12	19
0	15	24	29	15	21	36	25	30	13	14	5
0	10	40	20	18	20	28	20	32	16	24	28
0	8	15	22	19	21	44	22	33	15	49	3
0	12	20	29	9	18	31	23	31	13	21	7
0	11	18	18	17	20	46	20	31	8	40	15
0	8	20	16	12	23	25	24	30	32	21	31
1	13	39	20	17	19	30	21	33	18	25	58
0	14	19	34	14	14	39	21	33	14	20	22
0	11	21	23	25	18	28	18	30	30	25	32
0	12	15	31	14	23	39	19	32	16	17	30
0	13	20	20	15	19	43	22	40	17	40	7
1	17	40	24	9	21	31	14	32	21	34	54
0	14	14	20	15	18	22	20	33	32	20	32
0	16	16	21	15	20	46	21	34	10	40	9
1	15	45	18	17	21	26	21	26	17	36	46
1	17	21	20	15	19	21	20	30	25	19	28
1	20	27	20	15	20	29	17	29	25	22	10
0	13	22	24	16	15	51	17	28	13	44	30
1	27	23	17	15	23	30	24	30	30	23	5
0	15	14	30	14	20	37	19	36	9	24	10
1	16	44	22	19	25	26	22	26	15	26	55
0	18	42	20	15	21	31	18	36	15	17	23
1	25	23	19	5	17	31	20	32	16	22	15
1	12	40	16	17	18	23	20	21	15	32	37
0	12	18	35	15	20	35	18	31	13	21	16
0	12	19	26	15	21	35	16	35	16	25	4
0	15	23	20	16	20	45	18	30	13	37	18
1	31	21	26	12	23	25	22	23	20	16	20
1	21	17	19	13	21	21	20	30	25	20	8
0	10	13	21	13	21	47	18	39	15	49	23
1	28	14	20	15	21	33	21	31	13	16	2
1	20	20	18	15	21	28	22	37	23	17	2
1	20	21	22	14	14	25	20	29	26	20	19
1	29	25	21	20	22	24	17	24	8	14	14
0	13	15	30	16	20	39	21	31	14	20	27
0	11	17	25	17	17	45	20	34	15	45	20
0	12	49	19	12	18	23	20	23	16	20	18
1	29	18	16	18	13	24	19	31	16	21	20
0	12	45	22	13	20	19	21	30	14	22	11
0	13	22	30	15	23	30	19	29	11	21	7
0	13	37	20	26	21	24	20	27	14	21	12
0	12	39	24	12	21	25	25	27	13	19	29
0	12	40	22	18	17	25	18	32	15	20	13
0	19	20	20	11	21	38	22	26	15	42	21
1	30	26	26	8	11	26	12	35	12	18	17
1	17	18	20	13	25	25	21	18	18	22	9
0	11	15	26	13	19	34	20	38	19	24	15
1	34	20	18	17	23	29	22	17	15	23	0
1	14	9	19	15	24	25	22	25	30	14	58
1	11	40	20	17	20	18	21	30	11	30	59
0	9	20	33	11	24	36	19	28	25	18	13
0	13	20	22	18	20	20	23	30	31	20	37
0	14	20	19	19	21	45	26	31	17	42	17
0	12	25	21	11	22	47	22	27	17	29	10
0	10	25	21	16	24	26	18	30	28	18	39
0	12	18	20	16	15	38	19	20	17	41	8
0	12	23	20	6	16	21	20	22	30	20	30
1	31	21	22	14	12	27	19	30	14	24	10
1	11	43	19	16	17	24	16	27	20	29	36
0	13	20	20	7	20	20	18	28	28	24	56
1	15	46	15	14	16	20	21	30	14	30	56
0	15	20	29	15	20	33	21	34	17	20	3
0	13	19	34	18	17	37	20	30	17	16	9
0	14	16	29	15	20	38	20	26	15	27	11
1	26	18	21	20	19	25	19	29	10	17	25
0	8	11	16	17	21	46	20	31	16	48	4
1	13	39	22	15	18	25	18	35	16	28	39
1	17	18	17	21	18	25	20	37	25	25	2
0	13	20	19	11	20	48	20	27	18	34	4
1	33	19	20	14	22	33	19	30	14	19	17
1	20	20	28	18	17	25	23	24	25	20	30
0	9	24	19	12	19	43	18	29	15	58	5
1	18	14	10	10	17	27	22	37	30	12	4
1	11	38	21	13	20	23	21	35	20	34	33
1	12	20	21	15	13	41	19	30	15	45	6
0	13	18	32	16	17	30	20	38	21	20	5
0	11	21	33	15	25	34	21	30	15	20	15
1	14	21	16	15	20	28	29	39	35	24	40
0	13	20	29	15	22	33	18	31	15	20	5
0	7	27	32	15	20	31	18	29	23	17	10
1	12	37	12	18	21	18	22	26	17	27	34
0	8	24	31	19	14	38	20	21	11	16	23
0	13	14	34	14	19	37	22	31	15	19	3
1	15	16	18	21	22	27	20	30	26	18	21
0	17	25	31	13	22	40	19	29	13	26	7
1	36	25	23	13	16	19	24	30	21	16	9
1	19	25	16	14	23	25	20	31	25	24	24
1	29	23	15	18	22	25	21	17	12	27	5
1	13	41	20	12	20	26	13	33	15	28	51
0	12	24	18	15	25	36	20	29	14	40	20
0	14	16	17	16	19	41	16	32	15	35	21
1	20	19	20	10	15	25	17	30	27	19	10
0	14	20	28	8	14	34	16	38	16	20	22
1	17	11	22	19	27	29	19	27	25	20	19
0	11	18	33	11	20	34	20	37	16	24	26
0	10	22	28	16	18	36	17	23	16	14	12
1	22	20	24	18	20	24	17	28	24	22	21
1	9	40	20	16	22	24	17	31	13	31	39
1	15	41	20	19	22	30	17	31	17	28	38
0	10	37	23	15	20	20	23	36	12	20	11
1	11	40	21	15	20	25	20	23	16	31	54
0	12	19	22	9	19	46	17	34	16	45	22
0	13	20	17	11	33	31	18	28	27	24	45
1	20	22	18	14	21	21	20	29	25	19	4
1	28	22	19	25	17	25	16	31	13	22	27
0	10	43	17	20	20	17	18	32	17	18	19
0	10	33	20	13	19	22	21	28	15	14	22
0	12	24	20	22	20	20	20	27	34	21	48
0	14	37	20	14	23	26	22	34	13	25	7
1	16	22	20	22	20	27	20	29	25	25	8
1	26	17	18	14	22	29	26	36	22	14	19
1	11	41	21	9	19	21	23	39	19	31	56
0	12	49	21	19	25	27	15	29	17	19	23
1	20	41	19	12	26	25	21	35	18	25	56
1	10	42	18	20	24	25	21	38	19	33	42
0	4	20	22	8	23	44	26	28	18	33	9
0	12	10	25	17	19	52	14	25	15	45	21
0	9	16	23	16	21	46	21	31	15	43	10
0	10	14	30	15	22	39	17	32	15	15	7
0	13	12	18	18	22	48	20	25	13	36	30
1	20	26	21	15	13	31	21	33	25	24	20
1	16	27	18	11	20	18	20	30	25	23	23
0	9	13	21	12	26	28	19	28	28	19	30
1	15	36	18	8	22	21	18	33	16	24	47
1	38	20	21	20	25	27	21	31	14	17	12
0	15	37	20	8	20	22	22	31	15	20	12
0	12	21	29	14	21	34	15	35	15	20	22
1	20	15	20	15	19	28	16	31	25	21	0
0	17	34	22	22	19	30	16	39	18	19	0
1	35	24	20	16	24	33	14	28	12	16	20
0	15	30	20	15	20	26	25	34	20	22	0
1	25	16	18	16	21	26	20	34	19	20	21
0	16	28	31	19	20	31	16	24	15	22	10
1	12	38	22	19	17	25	18	37	15	39	36
1	12	38	20	14	23	30	20	26	15	30	37
1	38	18	19	8	19	22	27	29	17	14	22
0	12	11	23	21	15	34	17	32	16	22	14
0	11	38	19	14	20	27	22	33	13	17	25
1	21	21	19	12	22	21	23	30	22	27	7
1	12	49	22	11	20	27	21	22	15	36	43
0	13	28	33	19	20	38	21	27	15	21	28
1	30	16	20	14	12	19	16	29	13	20	27
0	12	39	20	18	15	22	18	30	16	19	3
0	14	20	17	20	16	17	21	27	28	20	29
0	10	33	17	15	20	18	20	23	15	18	22
1	14	38	20	13	27	25	23	23	15	34	44
0	19	25	20	11	21	25	19	28	30	23	47
0	12	18	16	13	22	30	25	28	31	21	39
1	28	20	17	10	16	24	20	32	17	22	11
1	17	38	23	15	20	27	24	25	15	36	40
1	12	14	20	17	24	25	19	37	25	15	4
1	16	15	25	13	24	29	18	27	24	20	5
0	11	20	20	13	19	55	15	30	11	41	20
1	37	20	21	18	20	21	17	26	13	21	26
1	26	13	23	15	19	34	21	24	14	28	11
0	9	20	19	17	19	55	23	30	16	39	20
0	10	39	20	9	23	28	19	32	17	21	24
0	10	21	32	15	23	36	23	35	15	18	4
1	27	11	15	21	23	25	22	29	16	21	4
0	9	23	33	15	14	35	19	30	13	16	27
1	25	11	20	20	20	30	22	28	14	22	6
0	16	19	19	20	22	50	21	26	15	40	30
0	12	12	19	15	15	29	17	34	27	19	29
0	13	45	20	15	24	27	20	29	17	18	2
0	13	42	20	14	22	24	19	31	16	16	14
0	13	28	20	15	16	47	20	30	12	36	22
1	32	28	23	15	17	22	23	33	14	22	17
0	10	25	18	11	21	41	19	24	13	37	27
0	12	33	22	17	9	21	16	35	11	20	19
0	12	15	19	15	23	21	18	30	30	23	34
1	27	18	20	14	22	24	25	31	15	17	23
1	13	44	16	17	20	26	23	26	11	17	3
0	11	13	20	15	19	24	15	23	31	19	40
1	12	43	23	18	20	29	20	35	16	19	46
1	20	22	18	14	12	18	16	23	27	21	26
0	12	24	32	15	17	35	20	27	16	21	27
1	12	18	16	18	12	22	24	33	30	15	49
1	15	23	18	14	19	22	20	34	25	20	2
0	14	28	20	19	23	25	19	35	32	18	39
1	14	14	25	18	21	30	18	34	30	20	49
0	10	21	27	13	25	36	20	29	15	24	28
0	14	20	24	19	19	24	17	29	31	20	34
0	13	25	19	20	21	21	21	30	30	16	33
0	12	38	21	15	17	27	21	15	14	20	26
0	16	39	22	10	20	26	20	32	15	20	6
0	11	22	32	8	21	35	13	36	14	19	19
0	15	18	27	19	11	40	19	30	16	22	5
1	17	25	23	15	19	25	24	40	24	21	16
1	30	28	22	16	16	20	19	33	14	20	20
1	13	55	25	13	24	16	19	31	10	29	37
0	11	39	21	19	19	28	23	30	15	17	25
0	13	18	30	11	17	29	21	24	15	23	28
0	14	23	25	16	21	34	19	30	15	26	26
0	13	19	21	11	19	39	23	30	12	42	23
1	11	13	32	12	14	35	20	29	15	18	10
1	33	20	20	13	19	21	19	30	19	18	14
0	16	37	18	16	20	32	12	32	16	19	7
1	23	20	20	9	27	25	16	39	27	18	16
1	6	35	12	17	22	23	22	20	13	28	33
1	17	13	13	16	18	42	17	27	11	55	18
1	18	17	22	11	21	24	20	22	26	19	13
0	3	27	20	9	25	23	19	26	25	29	42
1	14	48	12	14	20	25	21	30	13	37	33
0	12	11	21	10	27	25	21	36	31	18	41
0	15	17	34	16	13	39	21	25	16	25	1
0	14	37	22	5	21	27	20	39	11	14	29
0	8	34	25	20	16	29	22	24	11	24	28
0	15	13	32	16	22	39	23	32	12	20	16
0	10	16	15	15	23	42	20	33	15	37	2
1	18	18	20	16	21	41	20	34	17	44	4
0	15	22	20	23	20	24	26	30	31	21	48
0	9	13	18	11	13	16	24	32	27	20	47
0	15	13	20	15	23	25	20	30	25	20	29
1	35	0	17	23	19	21	20	34	12	15	18
0	14	20	19	13	20	45	22	31	14	40	0
0	10	24	27	20	20	23	19	27	30	20	54
0	11	27	23	16	18	40	15	30	15	14	22
0	9	20	28	12	21	28	20	28	17	18	12
1	8	36	18	15	18	29	20	32	19	28	56
0	10	17	28	13	17	38	20	30	15	15	5
0	10	48	17	14	9	22	21	27	16	19	1
1	22	20	21	13	20	32	19	35	25	20	9
1	14	39	14	18	20	25	19	29	12	33	41
1	19	14	20	15	23	22	23	28	28	23	26
1	32	20	21	19	20	28	17	28	15	21	1
1	17	28	22	13	26	26	15	23	25	11	15
1	18	20	22	17	18	24	23	37	16	21	29
0	13	23	22	14	12	25	20	33	31	27	59
0	15	21	20	18	18	28	18	33	32	24	40
0	14	26	20	14	14	26	20	31	14	17	16
0	12	26	28	15	31	33	20	30	13	20	7
0	15	48	17	15	22	31	23	28	17	22	19
1	12	43	23	15	11	19	22	41	15	26	37
0	7	23	20	15	18	48	20	31	15	40	20
0	16	18	25	15	21	31	24	36	7	21	5
1	21	28	22	17	17	25	20	27	27	20	0
1	19	22	19	15	20	23	14	28	17	17	12
1	32	22	20	15	14	29	20	30	20	24	24
1	13	38	18	17	21	14	18	27	15	33	34
0	19	23	25	16	18	26	15	23	24	16	2
1	33	31	20	11	21	25	20	28	15	22	4
1	33	17	18	17	27	27	20	30	15	22	19
0	13	32	17	12	20	24	15	33	9	24	21
1	9	41	18	18	23	30	24	20	15	38	50
0	12	36	18	13	17	29	17	28	18	18	20
0	15	20	23	17	19	38	20	38	13	19	25
0	9	20	32	13	17	39	16	33	16	23	14
1	11	30	20	16	16	26	19	32	13	28	34
1	17	37	21	11	21	25	21	39	17	30	31
0	11	20	23	8	20	20	22	30	35	17	51
0	12	12	20	14	20	45	24	30	15	37	23
0	10	18	17	15	20	29	17	30	36	19	51
1	15	22	22	9	17	29	15	35	27	14	42
0	9	22	20	12	17	45	20	27	14	35	14
0	16	20	25	17	20	18	17	30	31	20	35
1	28	22	20	13	19	25	21	21	15	22	30
1	36	21	21	19	18	28	24	30	15	22	16
0	11	20	26	11	19	23	20	25	30	20	43
0	14	16	32	17	20	35	26	31	16	13	7
0	14	24	21	17	21	26	20	35	27	20	38
0	14	15	24	8	23	20	22	31	28	25	31
1	25	28	17	17	30	29	16	29	25	22	30
1	18	27	18	12	20	25	20	32	24	23	9
1	20	14	22	8	22	20	22	31	25	16	26
0	13	16	13	18	25	49	15	31	20	28	30
1	27	20	16	4	21	25	22	27	13	18	6
1	31	24	20	19	15	22	15	29	15	23	0
0	14	42	18	18	25	17	20	23	17	17	8
0	11	25	17	6	21	28	22	33	31	18	43
1	23	15	22	18	20	17	19	36	13	25	14
1	21	20	20	14	24	22	25	32	25	23	28
1	13	35	21	15	18	28	24	29	15	30	29
0	11	17	36	15	17	33	19	27	14	19	18
0	11	19	30	12	21	35	19	25	15	21	30
1	30	22	20	15	19	25	17	29	12	21	11
1	23	13	19	17	18	28	24	26	26	28	21
1	13	41	19	15	23	18	25	25	16	30	37
1	9	46	22	16	20	20	22	25	16	23	51
0	11	41	19	17	15	24	16	31	18	19	10
1	9	40	21	20	21	23	20	28	13	34	31
0	10	20	21	14	20	46	20	29	15	43	11
0	10	35	20	15	22	23	18	21	21	24	27
1	29	17	19	24	20	26	20	33	16	20	27
1	20	22	19	14	17	29	21	26	23	26	22
0	10	34	17	24	19	26	18	25	18	22	23
0	13	17	30	16	23	32	20	40	13	19	15
1	13	26	20	12	20	34	19	23	33	21	36
0	8	22	23	17	20	25	21	32	30	16	36
1	19	18	18	12	13	24	21	30	24	17	11
1	30	20	26	11	25	24	24	38	10	19	27
0	12	19	20	15	24	50	17	33	17	40	0
0	10	19	20	19	18	44	17	26	17	39	15
0	10	20	31	16	27	32	22	24	14	17	28
